,comment
0, 1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
1,아침에 준석이 패밀리 하태경이가 방석집한식집이래 보수성에대한인식클라스
2,고영희 여사 귀여움
3,나간다임브랄열씨미 해라
4,몸매굿가슴굿
5,윤석열 반성해라 
6,다 살인해
7,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다
8,정수기 ㅡ명품옷잊고 ㅡ취임식 ㅡ참석허냐
9,증거는 산부인과에 있어 돈갖다준 증인도 이쓰ㅏ
10,김건희 왈 민주당은 돈을 않줘서 그래미투에 대한 의식수준돈이 최고라는 마인드다돈 없는 니들을 뭘로 보겟냐  바 퀴 벌 레 
11,낙태 악의적 누명이야 
12,ㅋㅋㅋ
13,본부장비리 윤석열 탄핵
14,자유 점에 내표시해놧어 
15,정수기가 먼저냐 문재인이 먼저냐 세계 최초 전직 대통령 부부  동시 구속 실현  ㅎㅎ
16,줄리 타고 방석집 가자
17,아는게 많은 싸이코 천지구만
18,1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
19,어린이날나이가 들수록 곁에 사람들이 안보인다더만 
20,준형아그래좋은날 돼라느들식 인사  ㅋㅋㅋ
21,방석집 아가씨들 축하받고 상다리 두둘기고 옷입고 춤추고 ㅋ
22,줄리보면 방석집 생각나지 
23,별이 쳐 떠들라열씨미
24,배고파
25,참수리는 여혐종자 같아 여자는 뉴스 보면 안되니 ㅋㅋ
26,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다
27,당신은 내꺼다
28,방석집가기 줗은날
29,키티한테 안부전하고
30, 1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
31,쥴리 산부인과에 5백만원 갖다준 증인있다
32,밥을 먹어야겠다
33,주가조작하기 좋은날
34,내가 다 보는데
35,가슴이 아파 죽겠어 
36,한국 니네
37,ㅌ
38,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다 
39,꽉갈때는 교양있게
40,무슨 블로그 악법 통과 시켰데 ㅠㅠ
41,번개 신고해서 모두 삭제함
42,민주당이 ㅜ
43,원이다
44,윤수빈
45,여름이야
46,국정농단 김건희 특검하라
47,진짜 덥더라
48,ㅎㅎㅎ
49,줄리 타고 방석집 가자
50,윤수빈 너무이뽕
51,리재명 언제 인간될까 2
52,성형녀들 신뢰감이 안가는건 사실 시술정도야 이해 하지만 돌려깍기 까지는 좀인성으로도 문제 있을듯 본인 외모에 대한 깊은 열등감 이라할까
53,민주당 자신들 비판하면 영구 정지 시키겠데 ㅜㅜ
54,뻔뻔한 원희룡 법카로 1600 써다며 
55,문재인 너는  바쁘면  취임식에  안와도 된다  보기 싫다  ㅎㅎ
56,김정숙 여사님은 비싼 옷 입으실 자격 충분히 있습니다 감사합니다
57,정쑤기 물빼니 오수더라
58,일제시대 농업계장은 친일파가 아닙니다 감사합니다
59,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다 
60,가짜보수 팩트는 없고 구라로 비하질뿐 창피하다
61,님들커피 마셔요2
62,정쑤기 뚱보 콜걸 옷값 1500억
63,성형 안했거든 
64,1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
65,리차드 신고해서 삭제함
66,다들 맛점 하세요
67,닥스 흑화한게 착한 닥스고 스칼렛위치가 악역이였네요 처음에 사과 농장 나오는거 완다가 마법으로 꾸며 놓은거에요 완다는 마지막에 빌런으로 하다가 결국 죽구요 ㅠㅠ
68,성형은 이은해지 
69,천국은 구름위에 있다 4차원이다 안보임 ㅋㅋㅋ
70,ㅋㅋㅋㅋ
71,돈이 있어야 입양도 하지 풉
72,일루미나티랑 완다랑싸우는데 완다가 다 이겨요 완다가 악역
73,자유당은 검찰에 완장채워주고 야당 죽이기 정치로 정권유지 조중동언론 카드라방송 여론장악 3각커넥션 카르텔
74,미필만 좋인뽑는 가짜보수 뇌물로 국정농단으로 국가망신만 시킨다
75,민주당 승리
76,토끼자리 박아놧어
77,민주당 승리
78,이은해 변천사 있어 찾아바 겁나 욱겨
79,분노조절장애 있어서 약 먹는데 이게 불치병이네 아
80,일루미나티랑 완다랑싸우는데 완다가 다 이겨요 완다가 악역 ㅜㅜㅜ
81,그러면 더 죽여
82,의 의미는 탈나치즘 나치즘이 없는 세계를 향해 러시아군은 제2차 세계대전 때 나치즘을 물리쳤다러시아인들은 나치즘을 물리친 데 대해 큰 자부심을 갖고 있다러시아는 제2차 세계대전 때 독일에서 나치즘과 싸웠고 많은 러시아 군인들이 죽은 역사가 있다그 군인의 아이들은 이제 할머니가 되었다
83,닥스 흑화한게 착한 닥스고 스칼렛위치가 악역이였네요 처음에 사과 농장 나오는거 완다가 마법으로 꾸며 놓은거에요 완다는 마지막에 빌런으로 하다가 결국 죽구요 ㅠㅠ
84,얼굴 말고 딴데 했겠지 표시 나서
85,제렌스키는 나치즘과 싸우다 죽은 여성의 동상을 제거한 제렌스키는 나치즘이며 백인우월주의자인 제렌스키는 우크라이나에 거짓말을 하고 있으며 우크라이나를 나치즘 국가로 만들고 있다
86,1인1당 공산당을 추구하는 민주당 계속 사랑해라 언젠가는 똥 밟고 후회 한다 
87,박상연이뽕
88,젤렌스키는 슬라브 민족을 배신하고 백인우월주의와 나치즘을 택한 그리고 우크라이나인들에게 거짓말을 해 대통령에 당선된 뒤 우크라이나를 나치즘 국가로 만들고 있다
89,자연스럽게 늙어라 여자들이여
90,ㅋㅋㅋ
91,1인1당 1번 카르텔은 독재다  건국 77년 최악의 문재인 정권  인면수심의 제도를 합리화 시킨 최초의 정당과 대통령
92,딴데 어디 ㅋ
